,target,source,purpose,amount
133,Romania,France,Multisector aid,8926624.0
134,Romania,Germany,Multisector aid,5857702.0
135,Romania,Italy,Multisector aid,1382308.0
136,Romania,Japan,Multisector aid,596348.0
137,Romania,Sweden,Multisector aid,81678.0
138,Romania,Switzerland,Multisector aid,2285133.0
139,Romania,United States,Multisector aid,36318389.0
140,Saudi Arabia,Austria,Multisector aid,459232.0
141,Saudi Arabia,France,Multisector aid,311980.0
142,Saudi Arabia,Taiwan,Multisector aid,2004365.0
143,Saudi Arabia,United States,Multisector aid,8779495.0
144,Slovak Republic,Austria,Multisector aid,175912.0
145,Slovak Republic,France,Multisector aid,2962561.0
146,Slovak Republic,Germany,Multisector aid,711468.0
147,Slovak Republic,Italy,Multisector aid,416578.0
148,Slovak Republic,Switzerland,Multisector aid,14651.0
149,Slovak Republic,United States,Multisector aid,14506940.0
150,Slovenia,Austria,Multisector aid,424640.0
151,Slovenia,Canada,Multisector aid,53306.0
152,Slovenia,France,Multisector aid,684632.0
153,Slovenia,Italy,Multisector aid,1118993.0
154,Slovenia,United States,Multisector aid,757713.0
155,South Africa,Australia,Multisector aid,35285995.0
156,South Africa,Austria,Multisector aid,191005.0
157,South Africa,Belgium,Multisector aid,5772026.0
158,South Africa,Brazil,Multisector aid,16722.0
159,South Africa,Canada,Multisector aid,6712847.0
160,South Africa,Denmark,Multisector aid,16833521.0
161,South Africa,Finland,Multisector aid,9813944.0
162,South Africa,France,Multisector aid,35935732.0
163,South Africa,Germany,Multisector aid,67901645.0
164,South Africa,Ireland,Multisector aid,1185036.0
165,South Africa,Italy,Multisector aid,5780917.0
166,South Africa,Japan,Multisector aid,14056700.0
167,South Africa,Korea,Multisector aid,360822.0
168,South Africa,Netherlands,Multisector aid,15243984.0
169,South Africa,New Zealand,Multisector aid,2482144.0
170,South Africa,Norway,Multisector aid,19776203.0
171,South Africa,Spain,Multisector aid,673476.0
172,South Africa,Sweden,Multisector aid,6943376.0
173,South Africa,Switzerland,Multisector aid,6215157.0
174,South Africa,United Kingdom,Multisector aid,165171.0
175,South Africa,United States,Multisector aid,160400156.0
176,Taiwan,Austria,Multisector aid,5446049.0
177,Taiwan,France,Multisector aid,369395.0
178,Thailand,Australia,Multisector aid,508061409.0
179,Thailand,Austria,Multisector aid,28512155.0
180,Thailand,Belgium,Multisector aid,162306.0
181,Thailand,Canada,Multisector aid,52474382.0
182,Thailand,Denmark,Multisector aid,23909876.0
183,Thailand,Finland,Multisector aid,2255417.0
184,Thailand,France,Multisector aid,9573664.0
185,Thailand,Germany,Multisector aid,66143446.0
186,Thailand,Ireland,Multisector aid,37889.0
187,Thailand,Italy,Multisector aid,318832.0
188,Thailand,Japan,Multisector aid,88255451.0
189,Thailand,Netherlands,Multisector aid,102137.0
190,Thailand,New Zealand,Multisector aid,366630.0
191,Thailand,Norway,Multisector aid,7774804.0
192,Thailand,Spain,Multisector aid,1158552.0
193,Thailand,Sweden,Multisector aid,980032.0
194,Thailand,Switzerland,Multisector aid,35303608.0
195,Thailand,United States,Multisector aid,233964737.0
196,United Arab Emirates,Denmark,Multisector aid,177373.0
197,United Arab Emirates,France,Multisector aid,56060.0
